Network Name,IP Address,u_marsha,u_lsp,LSP,Contact
MKEFI,70.62.154.114,MKEFI,Allbridge,Allbridge,LSP-Allbridge <LSP-Allbridge@marriottonline.onmicrosoft.com>
OKCAP,12.52.165.18,OKCAP,Allbridge,Allbridge,LSP-Allbridge <LSP-Allbridge@marriottonline.onmicrosoft.com>
PAHFI,12.107.245.181,PAHFI,Allbridge,Allbridge,LSP-Allbridge <LSP-Allbridge@marriottonline.onmicrosoft.com>
RDURB,98.101.158.91,RDURB,Allbridge,Allbridge,LSP-Allbridge <LSP-Allbridge@marriottonline.onmicrosoft.com>
RDURX,66.57.248.11,RDURX,Allbridge,Allbridge,LSP-Allbridge <LSP-Allbridge@marriottonline.onmicrosoft.com>
SANOX,12.181.158.210,SANOX,Allbridge,Allbridge,LSP-Allbridge <LSP-Allbridge@marriottonline.onmicrosoft.com>
WGOFI,204.111.19.51,WGOFI,Allbridge,Allbridge,LSP-Allbridge <LSP-Allbridge@marriottonline.onmicrosoft.com>
HOUCT,50.202.153.149,HOUCT,Allbridge,Allbridge,LSP-Allbridge <LSP-Allbridge@marriottonline.onmicrosoft.com>
MEMEF,12.184.130.94,MEMEF,Allbridge,Allbridge,LSP-Allbridge <LSP-Allbridge@marriottonline.onmicrosoft.com>
LEXFF,216.207.217.123,LEXFF,Allbridge,Allbridge,LSP-Allbridge <LSP-Allbridge@marriottonline.onmicrosoft.com>
MEMOB,63.209.200.133,MEMOB,Allbridge,Allbridge,LSP-Allbridge <LSP-Allbridge@marriottonline.onmicrosoft.com>
ALOFW,64.237.24.201,ALOFW,Allbridge,Allbridge,LSP-Allbridge <LSP-Allbridge@marriottonline.onmicrosoft.com>
DABPC,66.19.243.227,DABPC,Allbridge,Allbridge,LSP-Allbridge <LSP-Allbridge@marriottonline.onmicrosoft.com>
FLGSH,4.2.33.114,FLGSH,Allbridge,Allbridge,LSP-Allbridge <LSP-Allbridge@marriottonline.onmicrosoft.com>
HTSDH,204.124.83.243,HTSDH,Allbridge,Allbridge,LSP-Allbridge <LSP-Allbridge@marriottonline.onmicrosoft.com>
JAXJB,50.233.235.225,JAXJB,Allbridge,Allbridge,LSP-Allbridge <LSP-Allbridge@marriottonline.onmicrosoft.com>
NYCEB,207.237.128.58,NYCEB,Allbridge,Allbridge,LSP-Allbridge <LSP-Allbridge@marriottonline.onmicrosoft.com>
OMAWF,98.188.140.251,OMAWF,Allbridge,Allbridge,LSP-Allbridge <LSP-Allbridge@marriottonline.onmicrosoft.com>
TPAPC,72.109.250.163,TPAPC,Allbridge,Allbridge,LSP-Allbridge <LSP-Allbridge@marriottonline.onmicrosoft.com>
LITPB,12.189.37.162,LITPB,Allbridge,Allbridge,LSP-Allbridge <LSP-Allbridge@marriottonline.onmicrosoft.com>
ERIDT,63.104.132.227,ERIDT,Allbridge,Allbridge,LSP-Allbridge <LSP-Allbridge@marriottonline.onmicrosoft.com>
LAXCE,66.171.146.243,LAXCE,Blueprint RF,Blueprint RF,LSP-BlueprintRF@marriottonline.onmicrosoft.com
ATLKB,12.148.90.211,ATLKB,Blueprint RF,Blueprint RF,LSP-BlueprintRF@marriottonline.onmicrosoft.com
CSGLG,47.44.50.114,CSGLG,Blueprint RF,Blueprint RF,LSP-BlueprintRF@marriottonline.onmicrosoft.com
AOOTA,209.196.165.99,AOOTA,Blueprint RF,Blueprint RF,LSP-BlueprintRF@marriottonline.onmicrosoft.com
BFLTS,12.181.80.66,BFLTS,Blueprint RF,Blueprint RF,LSP-BlueprintRF@marriottonline.onmicrosoft.com
BHMBB,75.114.38.186,BHMBB,Blueprint RF,Blueprint RF,LSP-BlueprintRF@marriottonline.onmicrosoft.com
BHMCO,12.23.150.242,BHMCO,Blueprint RF,Blueprint RF,LSP-BlueprintRF@marriottonline.onmicrosoft.com
BNAKV,12.71.222.39,BNAKV,Blueprint RF,Blueprint RF,LSP-BlueprintRF@marriottonline.onmicrosoft.com
BOSAV,65.217.204.98,BOSAV,Blueprint RF,Blueprint RF,LSP-BlueprintRF@marriottonline.onmicrosoft.com
BTLFI,50.228.47.66,BTLFI,Blueprint RF,Blueprint RF,LSP-BlueprintRF@marriottonline.onmicrosoft.com
BURSC,12.96.123.134,BURSC,Blueprint RF,Blueprint RF,LSP-BlueprintRF@marriottonline.onmicrosoft.com
CHITL,12.1.126.220,CHITL,Blueprint RF,Blueprint RF,LSP-BlueprintRF@marriottonline.onmicrosoft.com
DALSH,12.189.133.134,DALSH,Blueprint RF,Blueprint RF,LSP-BlueprintRF@marriottonline.onmicrosoft.com
DENCD,204.132.107.34,DENCD,Blueprint RF,Blueprint RF,LSP-BlueprintRF@marriottonline.onmicrosoft.com
DENLK,205.169.165.10,DENLK,Blueprint RF,Blueprint RF,LSP-BlueprintRF@marriottonline.onmicrosoft.com
DFWFD,216.74.227.98,DFWFD,Blueprint RF,Blueprint RF,LSP-BlueprintRF@marriottonline.onmicrosoft.com
DFWWL,47.44.63.162,DFWWL,Blueprint RF,Blueprint RF,LSP-BlueprintRF@marriottonline.onmicrosoft.com
DSMEL,207.108.41.162,DSMEL,Blueprint RF,Blueprint RF,LSP-BlueprintRF@marriottonline.onmicrosoft.com
EWRGP,65.196.32.146,EWRGP,Blueprint RF,Blueprint RF,LSP-BlueprintRF@marriottonline.onmicrosoft.com
EWROG,134.6.206.34,EWROG,Blueprint RF,Blueprint RF,LSP-BlueprintRF@marriottonline.onmicrosoft.com
FATTS,12.51.39.66,FATTS,Blueprint RF,Blueprint RF,LSP-BlueprintRF@marriottonline.onmicrosoft.com
FWATS,50.239.174.98,FWATS,Blueprint RF,Blueprint RF,LSP-BlueprintRF@marriottonline.onmicrosoft.com
HOUBF,209.214.8.98,HOUBF,Blueprint RF,Blueprint RF,LSP-BlueprintRF@marriottonline.onmicrosoft.com
HOUKW,207.192.195.76,HOUKW,Blueprint RF,Blueprint RF,LSP-BlueprintRF@marriottonline.onmicrosoft.com
HOUTP,12.1.182.163,HOUTP,Blueprint RF,Blueprint RF,LSP-BlueprintRF@marriottonline.onmicrosoft.com
HVNCY,184.81.57.194,HVNCY,Blueprint RF,Blueprint RF,LSP-BlueprintRF@marriottonline.onmicrosoft.com
ILERI,97.77.246.66,ILERI,Blueprint RF,Blueprint RF,LSP-BlueprintRF@marriottonline.onmicrosoft.com
ILMCY,12.170.8.210,ILMCY,Blueprint RF,Blueprint RF,LSP-BlueprintRF@marriottonline.onmicrosoft.com
JAXCH,12.173.145.6,JAXCH,Blueprint RF,Blueprint RF,LSP-BlueprintRF@marriottonline.onmicrosoft.com
LBBTS,216.131.28.84,LBBTS,Blueprint RF,Blueprint RF,LSP-BlueprintRF@marriottonline.onmicrosoft.com
LEXRI,24.172.241.18,LEXRI,Blueprint RF,Blueprint RF,LSP-BlueprintRF@marriottonline.onmicrosoft.com
LSEFI,63.144.123.2,LSEFI,Blueprint RF,Blueprint RF,LSP-BlueprintRF@marriottonline.onmicrosoft.com
MCNFW,66.210.74.66,MCNFW,Blueprint RF,Blueprint RF,LSP-BlueprintRF@marriottonline.onmicrosoft.com
MCOYW,67.231.199.68,MCOYW,Blueprint RF,Blueprint RF,LSP-BlueprintRF@marriottonline.onmicrosoft.com
MHKCY,184.80.242.60,MHKCY,Blueprint RF,Blueprint RF,LSP-BlueprintRF@marriottonline.onmicrosoft.com
MHKFP,70.167.45.228,MHKFP,Blueprint RF,Blueprint RF,LSP-BlueprintRF@marriottonline.onmicrosoft.com
MLUFS,208.46.188.247,MLUFS,Blueprint RF,Blueprint RF,LSP-BlueprintRF@marriottonline.onmicrosoft.com
MSYMM,209.96.202.10,MSYMM,Blueprint RF,Blueprint RF,LSP-BlueprintRF@marriottonline.onmicrosoft.com
OKCQS,12.41.205.135,OKCQS,Blueprint RF,Blueprint RF,LSP-BlueprintRF@marriottonline.onmicrosoft.com
OKCRI,12.31.192.162,OKCRI,Blueprint RF,Blueprint RF,LSP-BlueprintRF@marriottonline.onmicrosoft.com
POUCY,184.75.127.3,POUCY,Blueprint RF,Blueprint RF,LSP-BlueprintRF@marriottonline.onmicrosoft.com
SJCFP,12.1.67.138,SJCFP,Blueprint RF,Blueprint RF,LSP-BlueprintRF@marriottonline.onmicrosoft.com
SYRRI,63.85.18.130,SYRRI,Blueprint RF,Blueprint RF,LSP-BlueprintRF@marriottonline.onmicrosoft.com
TPATN,97.76.251.226,TPATN,Blueprint RF,Blueprint RF,LSP-BlueprintRF@marriottonline.onmicrosoft.com
VRPFI,50.201.238.98,VRPFI,Blueprint RF,Blueprint RF,LSP-BlueprintRF@marriottonline.onmicrosoft.com
GRBDT,12.175.17.130,GRBDT,Blueprint RF,Blueprint RF,LSP-BlueprintRF@marriottonline.onmicrosoft.com
MKEWE,12.28.102.2,MKEWE,Blueprint RF,Blueprint RF,LSP-BlueprintRF@marriottonline.onmicrosoft.com
CHIDM,12.106.178.2,CHIDM,Blueprint RF,Blueprint RF,LSP-BlueprintRF@marriottonline.onmicrosoft.com
MIAAK,162.225.119.231,MIAAK,Blueprint RF,Blueprint RF,LSP-BlueprintRF@marriottonline.onmicrosoft.com
VPSTS,63.158.39.69,VPSTS,Blueprint RF,Blueprint RF,LSP-BlueprintRF@marriottonline.onmicrosoft.com
OCWFI,50.238.2.211,OCWFI,Blueprint RF,Blueprint RF,LSP-BlueprintRF@marriottonline.onmicrosoft.com
INTSR,70.63.197.242,INTSR,Blueprint RF,Blueprint RF,LSP-BlueprintRF@marriottonline.onmicrosoft.com
MAFOD,24.116.217.66,MAFOD,Blueprint RF,Blueprint RF,LSP-BlueprintRF@marriottonline.onmicrosoft.com
PEQFI,208.180.102.2,PEQFI,Blueprint RF,Blueprint RF,LSP-BlueprintRF@marriottonline.onmicrosoft.com
PHLVS,50.207.206.228,PHLVS,Blueprint RF,Blueprint RF,LSP-BlueprintRF@marriottonline.onmicrosoft.com
SDFRA,12.68.236.195,SDFRA,Cloud5,Cloud5,LSP-Cloud5@marriottonline.onmicrosoft.com
HOUPS,12.28.69.2,HOUPS,Cloud5,Cloud5,LSP-Cloud5@marriottonline.onmicrosoft.com
BDLHF,50.226.185.51,BDLHF,Cloud5,Cloud5,LSP-Cloud5@marriottonline.onmicrosoft.com
GRIGI,104.218.81.98,GRIGI,Cloud5,Cloud5,LSP-Cloud5@marriottonline.onmicrosoft.com
HHHGR,67.201.73.151,HHHGR,Cloud5,Cloud5,LSP-Cloud5@marriottonline.onmicrosoft.com
LEBFI,72.15.30.19,LEBFI,Cloud5,Cloud5,LSP-Cloud5@marriottonline.onmicrosoft.com
MCOLX,216.53.153.67,MCOLX,Cloud5,Cloud5,LSP-Cloud5@marriottonline.onmicrosoft.com
MCOLZ,216.53.153.104,MCOLZ,Cloud5,Cloud5,LSP-Cloud5@marriottonline.onmicrosoft.com
SFOMD,12.205.173.171,SFOMD,Cloud5,Cloud5,LSP-Cloud5@marriottonline.onmicrosoft.com
SFOFP,12.138.45.140,SFOFP,Cloud5,Cloud5,LSP-Cloud5@marriottonline.onmicrosoft.com
PDXRZ,206.222.221.5,PDXRZ,Cloud5,Cloud5,LSP-Cloud5@marriottonline.onmicrosoft.com
BNADA,72.166.81.142,BNADA,Cloud5,Cloud5,LSP-Cloud5@marriottonline.onmicrosoft.com
SEACA,4.42.79.211,SEACA,Cloud5,Cloud5,LSP-Cloud5@marriottonline.onmicrosoft.com
SEACA,4.42.79.211,SEACA,Cloud5,Cloud5,LSP-Cloud5@marriottonline.onmicrosoft.com
TUSDS,70.182.52.211,TUSDS,Cloud5,Cloud5,LSP-Cloud5@marriottonline.onmicrosoft.com
LNSRI,50.239.175.67,LNSRI,Cloud5,Cloud5,LSP-Cloud5@marriottonline.onmicrosoft.com
COSSM,50.169.172.51,COSSM,Cloud5,Cloud5,LSP-Cloud5@marriottonline.onmicrosoft.com
FHKSH,63.247.178.27,FHKSH,Cloud5,Cloud5,LSP-Cloud5@marriottonline.onmicrosoft.com
MCIAC,76.201.156.133,MCIAC,Cloud5,Cloud5,LSP-Cloud5@marriottonline.onmicrosoft.com
RICNW,65.216.134.3,RICNW,Comcast Business,Comcast Business,LSP-Comcast@marriottonline.onmicrosoft.com
BNACA,12.107.237.141,BNACA,Comcast Business,Comcast Business,LSP-Comcast@marriottonline.onmicrosoft.com
ABYFX,97.64.243.118,ABYFX,Comcast Business,Comcast Business,LSP-Comcast@marriottonline.onmicrosoft.com
AGSCH,209.64.133.6,AGSCH,Comcast Business,Comcast Business,LSP-Comcast@marriottonline.onmicrosoft.com
ALBBR,184.74.19.188,ALBBR,Comcast Business,Comcast Business,LSP-Comcast@marriottonline.onmicrosoft.com
AGSRI,66.49.112.52,AGSRI,Comcast Business,Comcast Business,LSP-Comcast@marriottonline.onmicrosoft.com
AUSFI,12.36.164.104,AUSFI,Comcast Business,Comcast Business,LSP-Comcast@marriottonline.onmicrosoft.com
BHMAL,12.49.40.11,BHMAL,Comcast Business,Comcast Business,LSP-Comcast@marriottonline.onmicrosoft.com
BOIFI,184.155.139.210,BOIFI,Comcast Business,Comcast Business,LSP-Comcast@marriottonline.onmicrosoft.com
BOSDE,50.204.117.130,BOSDE,Comcast Business,Comcast Business,LSP-Comcast@marriottonline.onmicrosoft.com
BQKCJ,98.19.96.21,BQKCJ,Comcast Business,Comcast Business,LSP-Comcast@marriottonline.onmicrosoft.com
BQKRJ,98.19.96.20,BQKRJ,Comcast Business,Comcast Business,LSP-Comcast@marriottonline.onmicrosoft.com
CLENO,12.219.242.195,CLENO,Comcast Business,Comcast Business,LSP-Comcast@marriottonline.onmicrosoft.com
DAYML,12.207.121.8,DAYML,Comcast Business,Comcast Business,LSP-Comcast@marriottonline.onmicrosoft.com
DTTTR,63.85.222.136,DTTTR,Comcast Business,Comcast Business,LSP-Comcast@marriottonline.onmicrosoft.com
FLLCY,12.216.122.4,FLLCY,Comcast Business,Comcast Business,LSP-Comcast@marriottonline.onmicrosoft.com
HARSI,208.240.59.227,HARSI,Comcast Business,Comcast Business,LSP-Comcast@marriottonline.onmicrosoft.com
IAHFP,50.208.73.179,IAHFP,Comcast Business,Comcast Business,LSP-Comcast@marriottonline.onmicrosoft.com
IDARI,63.230.116.164,IDARI,Comcast Business,Comcast Business,LSP-Comcast@marriottonline.onmicrosoft.com
INDAP,12.18.146.211,INDAP,Comcast Business,Comcast Business,LSP-Comcast@marriottonline.onmicrosoft.com
INDFA,12.215.69.52,INDFA,Comcast Business,Comcast Business,LSP-Comcast@marriottonline.onmicrosoft.com
LANTS,50.232.76.147,LANTS,Comcast Business,Comcast Business,LSP-Comcast@marriottonline.onmicrosoft.com
LAXCH,65.204.170.68,LAXCH,Comcast Business,Comcast Business,LSP-Comcast@marriottonline.onmicrosoft.com
LNKCY,76.79.31.115,LNKCY,Comcast Business,Comcast Business,LSP-Comcast@marriottonline.onmicrosoft.com
MCOCH,12.217.56.67,MCOCH,Comcast Business,Comcast Business,LSP-Comcast@marriottonline.onmicrosoft.com
MDWTS,107.1.155.12,MDWTS,Comcast Business,Comcast Business,LSP-Comcast@marriottonline.onmicrosoft.com
MSYCM,12.147.77.56,MSYCM,Comcast Business,Comcast Business,LSP-Comcast@marriottonline.onmicrosoft.com
PDXAK,70.99.6.60,PDXAK,Comcast Business,Comcast Business,LSP-Comcast@marriottonline.onmicrosoft.com
PDXPD,65.154.106.6,PDXPD,Comcast Business,Comcast Business,LSP-Comcast@marriottonline.onmicrosoft.com
PHLML,65.196.68.142,PHLML,Comcast Business,Comcast Business,LSP-Comcast@marriottonline.onmicrosoft.com
PHLWL,65.216.154.69,PHLWL,Comcast Business,Comcast Business,LSP-Comcast@marriottonline.onmicrosoft.com
PHXAC,63.237.185.202,PHXAC,Comcast Business,Comcast Business,LSP-Comcast@marriottonline.onmicrosoft.com
SAVCH,12.207.216.3,SAVCH,Comcast Business,Comcast Business,LSP-Comcast@marriottonline.onmicrosoft.com
SFOFA,50.226.47.212,SFOFA,Comcast Business,Comcast Business,LSP-Comcast@marriottonline.onmicrosoft.com
SFOSN,50.227.211.196,SFOSN,Comcast Business,Comcast Business,LSP-Comcast@marriottonline.onmicrosoft.com
SFOSU,50.227.215.53,SFOSU,Comcast Business,Comcast Business,LSP-Comcast@marriottonline.onmicrosoft.com
SJCAK,66.201.56.4,SJCAK,Comcast Business,Comcast Business,LSP-Comcast@marriottonline.onmicrosoft.com
SJCFV,12.220.155.20,SJCFV,Comcast Business,Comcast Business,LSP-Comcast@marriottonline.onmicrosoft.com
SLCLG,65.115.218.242,SLCLG,Comcast Business,Comcast Business,LSP-Comcast@marriottonline.onmicrosoft.com
SLCSD,97.75.163.35,SLCSD,Comcast Business,Comcast Business,LSP-Comcast@marriottonline.onmicrosoft.com
SNABP,12.139.135.13,SNABP,Comcast Business,Comcast Business,LSP-Comcast@marriottonline.onmicrosoft.com
SNAPK,12.40.67.214,SNAPK,Comcast Business,Comcast Business,LSP-Comcast@marriottonline.onmicrosoft.com
TPAAP,172.109.167.93,TPAAP,Comcast Business,Comcast Business,LSP-Comcast@marriottonline.onmicrosoft.com
TPASL,144.129.2.35,TPASL,Comcast Business,Comcast Business,LSP-Comcast@marriottonline.onmicrosoft.com
WASFK,50.216.174.36,WASFK,Comcast Business,Comcast Business,LSP-Comcast@marriottonline.onmicrosoft.com
WASTO,98.175.7.44,WASTO,Comcast Business,Comcast Business,LSP-Comcast@marriottonline.onmicrosoft.com
TLHCH,63.149.176.4,TLHCH,Comcast Business,Comcast Business,LSP-Comcast@marriottonline.onmicrosoft.com
CHIRL,12.28.2.119,CHIRL,Comcast Business,Comcast Business,LSP-Comcast@marriottonline.onmicrosoft.com
CLECI,12.231.113.3,CLECI,Comcast Business,Comcast Business,LSP-Comcast@marriottonline.onmicrosoft.com
MCOOI,12.187.10.196,MCOOI,Comcast Business,Comcast Business,LSP-Comcast@marriottonline.onmicrosoft.com
WASSX,50.233.149.130,WASSX,Comcast Business,Comcast Business,LSP-Comcast@marriottonline.onmicrosoft.com
YGKFP,204.101.207.140,YGKFP,Concord,Concord,LSP-Concord <LSP-Concord@marriottonline.onmicrosoft.com>
YGKFP,204.101.207.140,YGKFP,Concord,Concord,LSP-Concord <LSP-Concord@marriottonline.onmicrosoft.com>
PITHW,173.225.48.4,PITHW,Concord,Concord,LSP-Concord <LSP-Concord@marriottonline.onmicrosoft.com>
JAXRV,12.168.235.131,JAXRV,Concord,Concord,LSP-Concord <LSP-Concord@marriottonline.onmicrosoft.com>
CLERI,12.168.218.202,CLERI,Concord,Concord,LSP-Concord <LSP-Concord@marriottonline.onmicrosoft.com>
,,,,DeepBlueCommunications (added to Comcast),LSP-Comcast@marriottonline.onmicrosoft.com
MADFI,190.57.23.228,MADFI,Esferize,Esferize,Arturo R. Sanz <arsanz@esferize.com>; Eduardo Aparicio <eaparicio@esferize.com>
MADCU,195.55.124.212,MADCU,Esferize,Esferize,Arturo R. Sanz <arsanz@esferize.com>; Eduardo Aparicio <eaparicio@esferize.com>
BCNKS,213.0.30.41,BCNKS,Esferize,Esferize,Arturo R. Sanz <arsanz@esferize.com>; Eduardo Aparicio <eaparicio@esferize.com>
AGPMG,195.77.240.169,AGPMG,Esferize,Esferize,Arturo R. Sanz <arsanz@esferize.com>; Eduardo Aparicio <eaparicio@esferize.com>
ALCAL,195.77.43.52,ALCAL,Esferize,Esferize,Arturo R. Sanz <arsanz@esferize.com>; Eduardo Aparicio <eaparicio@esferize.com>
VLCAP,195.77.43.180,VLCAP,Esferize,Esferize,Arturo R. Sanz <arsanz@esferize.com>; Eduardo Aparicio <eaparicio@esferize.com>
FLRFI,93.47.81.54,FLRFI,Esferize,Esferize,Arturo R. Sanz <arsanz@esferize.com>; Eduardo Aparicio <eaparicio@esferize.com>
VITBK,194.224.83.211,VITBK,Esferize,Esferize,Arturo R. Sanz <arsanz@esferize.com>; Eduardo Aparicio <eaparicio@esferize.com>
VITBK,194.224.83.211,VITBK,Esferize,Esferize,Arturo R. Sanz <arsanz@esferize.com>; Eduardo Aparicio <eaparicio@esferize.com>
,,,,FourteenIP,"Cunliffe, Dan (SP) <Dan.Cunliffe@marriott-sp.com>;"
YEGAF,208.118.95.98,YEGAF,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
DENAP,65.140.8.226,DENAP,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
HLNRI,67.52.95.18,HLNRI,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
LASNV,63.237.165.130,LASNV,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
LAXRO,12.176.54.98,LAXRO,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
LBBFI,199.123.2.135,LBBFI,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
MAFFI,160.3.220.146,MAFFI,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
MBSSG,216.25.191.226,MBSSG,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
MBSTP,63.76.11.2,MBSTP,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
MCICV,150.220.242.116,MCICV,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
MCISM,12.164.200.109,MCISM,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
MEMCA,12.203.205.66,MEMCA,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
MFRCY,69.85.213.31,MFRCY,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
MKEDN,12.237.55.66,MKEDN,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
MNZCH,63.88.70.131,MNZCH,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
MNZCY,170.249.134.111,MNZCY,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
MSNMV,12.175.2.226,MSNMV,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
MSYRZ,12.68.221.114,MSYRZ,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
OMART,65.155.45.18,OMART,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
OSHFI,99.110.125.177,OSHFI,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
OWBTS,74.9.214.178,OWBTS,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
PHLSA,65.124.80.194,PHLSA,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
PHLVF,67.51.133.205,PHLVF,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
PHXRP,98.179.134.178,PHXRP,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
PWMPT,50.235.189.212,PWMPT,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
RDUDR,209.119.243.3,RDUDR,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
SEANG,205.170.182.2,SEANG,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
SNADP,8.9.46.178,SNADP,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
SPAMC,128.92.65.167,SPAMC,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
STCFI,12.175.7.130,STCFI,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
SPAWE,12.232.137.2,SPAWE,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
SPISH,12.175.7.162,SPISH,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
STLWP,66.172.203.220,STLWP,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
TRXFI,64.207.235.131,TRXFI,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
TUSAD,72.47.16.130,TUSAD,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
TYRSL,24.97.190.132,TYRSL,GuestTek,GuestTek,LSP-Guest-Tek <LSP-Guest-Tek@marriottonline.onmicrosoft.com>
